DESCRIPTION,WORDNUMBER,VALENCEAVERAGE,AROUSALAVERAGE,DOMINANCEAVERAGE,WORDFREQUENCY
plant,316,5.98,3.62,4.71,125
pleasure,317,8.28,5.74,6.15,62
poetry,318,5.86,4,5.31,88
poison,319,1.98,6.05,3.1,10
politeness,320,7.18,3.74,5.74,5
pollute,321,1.85,6.08,4.92,1
poster,942,5.34,3.93,4.91,4
poverty,322,1.67,4.87,3.21,20
power,323,6.54,6.67,7.28,342
powerful,324,6.84,5.83,7.19,63
prairie,325,5.75,3.41,4.62,21
present,943,6.95,5.12,5.83,377
pressure,944,3.38,6.07,3.45,185
prestige,945,7.26,5.86,6.9,29
pretty,326,7.75,6.03,5.5,107
prick,946,3.98,4.7,4.47,2
pride,327,7,5.83,7.06,42
priest,328,6.42,4.41,4.88,16
prison,329,2.05,5.7,4.2,42
privacy,330,5.88,4.12,5.66,12
profit,331,7.63,6.68,5.85,28
progress,947,7.73,6.02,6.76,120
promotion,332,8.2,6.44,6.79,26
protected,333,7.29,4.09,5.8,31
proud,334,8.03,5.56,6.74,50
pungent,948,3.95,4.24,4.78,4
punishment,335,2.22,5.93,3.5,21
puppy,336,7.56,5.85,5.51,2
pus,602,2.86,4.82,4.35,.
putrid,337,2.38,5.74,4.89,.
python,949,4.05,6.18,4.52,14
quality,950,6.25,4.48,5.64,114
quarrel,338,2.93,6.29,4.02,20
quart,951,5.39,3.59,5.2,3
queen,952,6.44,4.76,5.49,41
quick,953,6.64,6.57,6.57,68
quiet,339,5.58,2.82,4.42,76
rabbit,527,6.57,4.02,6.08,11
rabies,340,1.77,6.1,3.85,1
radiant,954,6.73,5.39,5.61,8
radiator,955,4.67,4.02,4.81,4
radio,341,6.73,4.78,5.28,120
rage,342,2.41,8.17,5.68,16
rain,569,5.08,3.65,4.78,70
rainbow,343,8.14,4.64,4.72,4
rancid,956,4.34,5.04,4.59,.
rape,344,1.25,6.81,2.97,5
rat,345,3.02,4.95,4.55,6
rattle,346,5.03,4.36,4.17,5
razor,957,4.81,5.36,4.91,15
red,570,6.41,5.29,5.78,197
refreshment,347,7.44,4.45,5,2
regretful,348,2.28,5.74,3.43,1
rejected,349,1.5,6.37,2.72,33
relaxed,350,7,2.39,5.55,14
repentant,351,5.53,4.69,5.42,1
reptile,958,4.77,5.18,4.77,.
rescue,352,7.7,6.53,6.45,15
resent,959,3.76,4.47,4.46,8
reserved,353,4.88,3.27,4.3,27
respect,354,7.64,5.19,6.89,125
respectful,355,7.22,4.6,5.67,4
restaurant,960,6.76,5.41,5.73,41
reunion,961,6.48,6.34,5.64,11
reverent,356,5.35,4,4.67,3
revolt,357,4.13,6.56,6.18,8
revolver,962,4.02,5.55,4.39,14
reward,358,7.53,4.95,6,15
riches,359,7.7,6.17,6.74,2
ridicule,360,3.13,5.83,3.87,5
rifle,603,4.02,6.35,4.16,63
rigid,963,3.66,4.66,4.61,24
riot,361,2.96,6.39,4.18,7
river,362,6.85,4.51,5.1,165
roach,363,2.35,6.64,4.82,2
robber,964,2.61,5.62,3.62,2
rock,965,5.56,4.52,5.15,75
rollercoaster,528,8.02,8.06,5.1,.
romantic,364,8.32,7.59,6.08,32
rotten,365,2.26,4.53,4.32,2
rough,966,4.74,5.33,4.81,41
rude,366,2.5,6.31,4.91,6
runner,571,5.67,4.76,5.47,1
rusty,367,3.86,3.77,4.53,8
sad,368,1.61,4.13,3.45,35
safe,967,7.07,3.86,5.81,58
sailboat,529,7.25,4.88,5.86,1
saint,968,6.49,4.49,5.37,16
salad,369,5.74,3.81,5.47,9
salute,370,5.92,5.31,5.46,3
sapphire,371,7,5,5.55,.
satisfied,372,7.94,4.94,6.14,36
save,969,6.45,4.95,6,62
savior,373,7.73,5.8,6.64,6
scalding,970,2.82,5.95,3.82,1
scandal,971,3.32,5.12,4.34,8
scapegoat,972,3.67,4.53,3.52,1
scar,973,3.38,4.79,3.88,10
scared,604,2.78,6.82,2.94,21
scholar,374,7.26,5.12,6.59,15
scissors,974,5.05,4.47,5.16,1
scorching,975,3.76,5,4.1,.
scorn,375,2.84,5.48,3.93,4
scornful,376,3.02,5.04,4.59,5
scorpion,976,3.69,5.38,3.98,.
scream,605,3.88,7.04,4.75,13
scum,377,2.43,4.88,4.26,.
scurvy,378,3.19,4.71,4.48,1
seasick,379,2.05,5.8,3.41,.
seat,380,4.95,2.95,4.84,54
secure,381,7.57,3.14,5.93,30
selfish,382,2.42,5.5,4.64,8
sentiment,977,5.98,4.41,5.09,23
serious,383,5.08,4,5.12,116
severe,978,3.2,5.26,3.83,39
sex,384,8.05,7.36,5.75,84
sexy,530,8.02,7.36,6.82,2
shadow,385,4.35,4.3,4.19,36
shamed,386,2.5,4.88,2.98,1
shark,606,3.65,7.16,2.63,.
sheltered,387,5.75,4.28,3.76,4
ship,388,5.55,4.38,5.12,83
shotgun,979,4.37,6.27,5.29,8
shriek,980,3.93,5.36,4.3,5
shy,389,4.64,3.77,3.44,13
sick,607,1.9,4.29,3.04,51
sickness,390,2.25,5.61,3.84,6
silk,391,6.9,3.71,4.81,12
silly,981,7.41,5.88,6,15
sin,392,2.8,5.78,3.62,53
sinful,393,2.93,6.29,4.24,3
sissy,394,3.14,5.17,3.58,.
skeptical,395,4.52,4.91,4.5,7
skijump,531,7.06,7.06,4.9,.
skull,608,4.27,4.75,4.86,3
sky,572,7.37,4.27,5.16,58
skyscraper,573,5.88,5.71,4.33,2
slap,396,2.95,6.46,4.21,2
slaughter,397,1.64,6.77,3.82,10
slave,398,1.84,6.21,3.29,30
sleep,399,7.2,2.8,5.41,65
slime,400,2.68,5.36,4.17,1
slow,982,3.93,3.39,4.35,60
slum,401,2.39,4.78,3.83,8
slush,983,4.66,3.73,4.91,.
smallpox,402,2.52,5.58,4.29,2
smooth,984,6.58,4.91,5.09,42
snake,609,3.31,6.82,3.78,44
snob,403,3.36,5.65,5.11,1
snow,575,7.08,5.75,5.8,59
snuggle,404,7.92,4.16,5.66,4
social,985,6.88,4.98,5.91,380
soft,986,7.12,4.63,6,61
solemn,405,4.32,3.56,4.61,12
song,987,7.1,6.07,5.85,70
soothe,988,7.3,4.4,5.36,2
sour,989,3.93,5.1,4.64,3
space,574,6.78,5.14,5.2,184
spanking,990,3.55,5.41,3.91,.
sphere,991,5.33,3.88,5,22
spider,610,3.33,5.71,4.75,2
spirit,406,7,5.56,5.82,182
spouse,407,7.58,5.21,5.53,3
spray,992,5.45,4.14,5.12,16
spring,993,7.76,5.67,6.26,127
square,408,4.74,3.18,4.51,143
stagnant,994,4.15,3.93,4.71,5
star,409,7.27,5.83,4.68,25
startled,410,4.5,6.93,4.48,21
starving,611,2.39,5.61,3.63,6
statue,995,5.17,3.46,4.95,17
stench,996,2.19,4.36,4.29,1
stiff,997,4.68,4.02,4.93,21
stink,411,3,4.26,4.16,3
stomach,998,4.82,3.93,4.68,37
stool,999,4.56,4,4.98,8
storm,1000,4.95,5.71,4.54,26
stove,1001,4.98,4.51,5.36,15
street,412,5.22,3.39,4.81,244
stress,413,2.09,7.45,3.93,107
strong,414,7.11,5.92,6.92,202
stupid,415,2.31,4.72,2.98,24
subdued,416,4.67,2.9,4.08,8
success,417,8.29,6.11,6.89,93
suffocate,418,1.56,6.03,3.44,1
sugar,1002,6.74,5.64,5.5,34
suicide,419,1.25,5.73,3.58,17
sun,532,7.55,5.04,6.16,112
sunlight,1003,7.76,6.1,5.63,17
sunrise,420,7.86,5.06,5.29,10
sunset,421,7.68,4.2,5.66,14
surgery,612,2.86,6.35,2.75,6
surprised,422,7.47,7.47,6.11,58
suspicious,423,3.76,6.25,4.47,13
swamp,1004,5.14,4.86,5.29,5
sweetheart,424,8.42,5.5,6.03,9
swift,1005,6.46,5.39,6.29,32
swimmer,576,6.54,4.82,5.96,.
syphilis,425,1.68,5.69,3.33,.
table,426,5.22,2.92,4.47,198
talent,427,7.56,6.27,6.49,40
tamper,1006,4.1,4.95,4.58,1
tank,613,5.16,4.88,4.78,12
taste,1007,6.66,5.22,5.5,59
taxi,1008,5,3.41,4.64,16
teacher,1009,5.68,4.05,5.11,80
tease,1010,4.84,5.87,4.67,6
tender,1011,6.93,4.88,5.33,11
tennis,540,6.02,4.61,5.61,15
tense,428,3.56,6.53,5.22,15
termite,429,3.58,5.39,3.87,.
terrible,430,1.93,6.27,3.58,45
terrific,431,8.16,6.23,6.6,5
terrified,432,1.72,7.86,3.08,7
terrorist,614,1.69,7.27,2.65,.
thankful,433,6.89,4.34,5.32,6
theory,434,5.3,4.62,4.88,129
thermometer,1012,4.73,3.79,4.39,.
thief,435,2.13,6.89,3.79,8
thorn,436,3.64,5.14,4.45,3
thought,1013,6.39,4.83,6.02,515
thoughtful,437,7.65,5.72,5.61,11
thrill,438,8.05,8.02,6.54,5
tidy,1014,6.3,3.98,5.49,1
time,439,5.31,4.64,4.63,1599
timid,440,3.86,4.11,3.09,5
tobacco,441,3.28,4.83,4.08,19
tomb,442,2.94,4.73,3.72,11
tool,1015,5.19,4.33,5.67,40
toothache,443,1.98,5.55,3.9,.
tornado,444,2.55,6.83,4.3,1
torture,445,1.56,6.1,3.33,3
tower,1016,5.46,3.95,5.78,13
toxic,446,2.1,6.4,4.42,3
toy,1017,7,5.11,6.09,4
tragedy,447,1.78,6.24,3.5,49
traitor,448,2.22,5.78,4.61,2
trash,615,2.67,4.16,5.24,2
trauma,616,2.1,6.33,2.84,1
travel,1018,7.1,6.21,6.31,61
treasure,449,8.27,6.75,6.36,4
treat,1019,7.36,5.62,5.78,26
tree,450,6.32,3.42,5.08,59
triumph,451,7.8,5.78,6.98,22
triumphant,452,8.82,6.78,6.95,5
trophy,453,7.78,5.39,6.44,8
trouble,454,3.03,6.85,4.85,134
troubled,455,2.17,5.94,3.91,31
truck,577,5.47,4.84,5.33,57
trumpet,456,5.75,4.97,4.57,7
trunk,1020,5.09,4.18,5.14,8
trust,457,6.68,5.3,6.61,52
truth,458,7.8,5,6.47,126
tumor,459,2.36,6.51,3.58,17
tune,1021,6.93,4.71,5.74,10
twilight,1022,7.23,4.7,5.59,4
ugly,460,2.43,5.38,4.26,21
ulcer,461,1.78,6.12,4.17,5
umbrella,578,5.16,3.68,5.42,8
unfaithful,462,2.05,6.2,3.02,1
unhappy,463,1.57,4.18,3.34,26
unit,1023,5.59,3.75,5.11,103
untroubled,464,7.62,3.89,5.53,.
upset,465,2,5.86,4.08,14
urine,617,3.25,4.2,5.24,1
useful,466,7.14,4.26,5.93,58
useless,467,2.13,4.87,3.92,17
utensil,1024,5.14,3.57,5.4,.
vacation,468,8.16,5.64,6.8,47
vagina,1025,6.14,5.55,5.88,10
valentine,469,8.11,6.06,5.81,2
vampire,470,4.26,6.37,5.05,1
vandal,471,2.71,6.4,3.91,1
vanity,472,4.3,4.98,4.8,7
vehicle,473,6.27,4.63,5.77,35
venom,474,2.68,6.08,3.94,2
vest,1026,5.25,3.95,5.09,4
victim,618,2.18,6.06,2.69,27
victory,475,8.32,6.63,7.26,61
vigorous,476,6.79,5.9,5.41,29
village,477,5.92,4.08,4.94,72
violent,478,2.29,6.89,5.16,33
violin,579,5.43,3.49,5.18,11
virgin,1027,6.45,5.51,6.24,35
virtue,479,6.22,4.52,6.13,30
vision,480,6.62,4.66,6.02,56
volcano,619,4.84,6.33,3.25,2
vomit,481,2.06,5.75,3.58,3
voyage,1028,6.25,5.55,5.18,17
wagon,1029,5.37,3.98,5.05,55
war,482,2.08,7.49,4.5,464
warmth,483,7.41,3.73,5.61,28
wasp,484,3.37,5.5,3.76,2
waste,485,2.93,4.14,4.72,35
watch,580,5.78,4.1,5.37,81
water,486,6.61,4.97,5.08,442
waterfall,487,7.88,5.37,5.2,2
wealthy,488,7.7,5.8,6.77,12
weapon,489,3.97,6.03,5.19,42
weary,490,3.79,3.81,4,17
wedding,491,7.82,5.97,6.68,32
whistle,1030,5.81,4.69,5.27,4
white,542,6.47,4.37,5.98,365
whore,492,2.3,5.85,4.61,2
wicked,493,2.96,6.09,4.36,9
wife,1031,6.33,4.93,5.57,228
win,494,8.38,7.72,7.39,55
windmill,1032,5.6,3.74,5.24,1
window,495,5.91,3.97,4.91,119
wine,496,5.95,4.78,5.31,72
wink,1033,6.93,5.44,5.7,7
wise,497,7.52,3.91,6.7,36
wish,1034,7.09,5.16,5.28,110
wit,1035,7.32,5.42,6.38,20
woman,498,6.64,5.32,6.33,224
wonder,499,6.03,5,5.32,67
world,500,6.5,5.32,5.26,787
wounds,620,2.51,5.82,3.92,8
writer,1036,5.52,4.33,4.73,73
yacht,1037,6.95,5.61,6.1,4
yellow,545,5.61,4.43,5.47,55
young,1038,6.89,5.64,5.3,385
youth,1039,6.75,5.67,5.11,82
zest,1040,6.79,5.59,6,5
